from,to,relation
ME,KSK,Leiter
RP,KSK,Mitglied
AM,KSK,Mitglied
ME,NDA,Mitglied
PW,L25,Mitglied
PW,VP,Kontakt
RP,VP,Leiter
ME,KH,Freunde
ME,MF,Freunde
ME,HPR,Kollegen
RHL,R,Mitglied
MF,IG,Kollegen
TT,HPR,Freunde
PW,MA,Mitglied
SB,VP,Mitglied
SB,MA,Mitglied
RP,MA,Leiter
ME,MA,Mitglied
FH,MA,Mitglied
RR,R,Mitglied
KSK,R,Leiter
PG,R,Mitglied
MR,R,Mitglied
